time,GEN1:Vt,GEN2:Vt,GEN3:Vt,GEN4:Vt,GEN5:Vt,GEN6:Vt,GEN7:Vt,GEN8:Vt,GEN9:Vt,GEN10:Vt,GEN1:delta,GEN2:delta,GEN3:delta,GEN4:delta,GEN5:delta,GEN6:delta,GEN7:delta,GEN8:delta,GEN9:delta,GEN10:delta
1.32,0.9476638071377632,0.7700861421571893,0.7968133670483326,0.8214808681863551,0.8019164136145017,0.8904065515266375,0.9017388205022027,0.8755013520230889,0.8678155079863595,0.9191136939245674,0.8951913858918863,3.0207437088862035,2.9446716325567817,3.203811091833732,3.513837187265304,2.8830959720296767,3.0185707517156977,2.963072196589952,3.347959854536511,1.9601500234034481
1.33,0.9475277326471112,0.7682719230598817,0.7955040658950085,0.8210673899423195,0.8009239073710163,0.8904088232674777,0.9018181305494245,0.8747589332045898,0.8658844650597535,0.9186577866066447,0.9278708688807967,3.0604222062803625,2.981663084024086,3.231791314279678,3.5483499709798862,2.9096084616687645,3.043624100149571,2.9975098380599765,3.3866259213761105,1.9928853087880274
1.34,0.9474387515924261,0.7665583454222775,0.7942879011451066,0.8207267765927475,0.8000618705747901,0.8904022094392884,0.901904022867135,0.8741000078787258,0.8640057556799617,0.9182702370871172,0.9611448183403741,3.100162188586315,3.0186452643148365,3.2599140459310894,3.5826178031725386,2.9370215829627933,3.0697587116070677,3.0318628101524707,3.4253412998471484,2.025551769361601
1.35,0.9473967361616719,0.7649505002486015,0.7931687115943669,0.820460804356929,0.7993346204997465,0.8903909895001422,0.9020009929100421,0.8735267839165289,0.8621833900470548,0.917952080378074,0.995012217911169,3.1399535655628186,3.055614245410984,3.2882051607779506,3.6166412171753684,2.9653470906418407,3.0969945158608563,3.0661318823552133,3.464100726076919,2.058158492429601
1.36,0.9474014859043721,0.7634532875252611,0.7921500675486802,0.8202709020855362,0.7987459048353717,0.8903789775281995,0.9021128511271062,0.8730411339511019,0.8604212601360239,0.9177041222165309,1.0294719313573797,3.1797863558776767,3.092566553526679,3.3166902594629755,3.650421465668504,2.994594225380475,3.1253477702351553,3.100318993242014,3.5028990801499886,2.0907156226353654
1.37,0.9474527288292128,0.7620714008618419,0.7912352568905504,0.8201581466293905,0.7982988821446493,0.8903695011983837,0.9022426984638349,0.8726445853490554,0.8587231346005056,0.9175269364711724,1.0645227061857354,3.2196506856573035,3.129499159005583,3.3453945642021052,3.6839605082704954,3.024769728222205,3.1548310456760587,3.1344272420904646,3.541731378191241,2.1232343219839023
1.3800000000000001,0.9475501227999602,0.760809313902106,0.7904272735537115,0.8201232608337772,0.7979961056772276,0.8903653892616874,0.9023929133752914,0.8723383136240394,0.8570926548188978,0.9174208648943243,1.1001631767849935,3.2595367884088717,3.166409467127228,3.3743428181526167,3.7172610019470493,3.0558778639115403,3.1854532254135903,3.1684608784784674,3.5805927656788246,2.1557267277600762
1.3900000000000001,0.9476932572139386,0.7596712682062763,0.7897288081546259,0.8201666138553302,0.7978395103035592,0.8903689669234849,0.9025651494772773,0.8721231391519227,0.8555333317824564,0.9173860190888679,1.136391867089723,3.299435006562916,3.2032953100195303,3.403559189451668,3.750326294419519,3.0879204526663644,3.2172195156687526,3.20242528993164,3.6194785121138624,2.1882059083576046
1.4000000000000001,0.9478816549456013,0.7586612623224149,0.7891422405494501,0.8202882235579861,0.7978304024082465,0.8903820585076506,0.9027603429916407,0.8719995270462049,0.8540485435554761,0.9174222845548509,1.1732071927755177,3.339335794860585,3.2401549398350777,3.4330671800867925,3.7831604206871523,3.120896909903828,3.2501314679397,3.2363269876422325,3.6583840071450027,2.2206858170163586
1.41,0.9481147745365257,0.7577830417910004,0.788669634113221,0.8204877608066147,0.7979694526573987,0.8904059968038703,0.9029787291988227,0.871967590056031,0.852641533073574,0.917529326678265,1.2106074629958665,3.379229725785725,3.2769870233092795,3.4628895397061212,3.815768102709331,3.1548042934198035,3.2841870124873194,3.270173590229771,3.697304758218741,2.2531812434505283
